"","language","article","date","views"
"8500","en","palestine_liberation_front",2012-01-08,40
"81004","en","political_radicalism",2012-01-08,148
"81006","en","recruitment",2012-01-08,1058
"81000","en","suicide_attack",2012-01-08,512
"8900","en","suicide_bomber",2012-01-08,128
"8800","en","taliban",2012-01-08,3099
"81003","en","tehrik-i-taliban_pakistan",2012-01-08,220
"8102","en","terror",2012-01-08,222
"8100","en","terrorism",2012-01-08,2314
"8120","en","weapons-grade",2012-01-08,85
"9200","en","abu_sayyaf",2012-01-09,485
"9","en","al-qaeda",2012-01-09,4257
"91001","en","al-qaeda_in_the_arabian_peninsula",2012-01-09,140
"91002","en","al-qaeda_in_the_islamic_maghreb",2012-01-09,12
"91005","en","al-shabaab",2012-01-09,1153
"9170","en","biological_weapon",2012-01-09,105
"9600","en","car_bomb",2012-01-09,267
"9150","en","chemical_weapon",2012-01-09,313
"9108","en","conventional_weapon",2012-01-09,49
"9128","en","dirty_bomb",2012-01-09,534
"9106","en","eco-terrorism",2012-01-09,262
"9104","en","environmental_terrorism",2012-01-09,38
"9300","en","euskadi_ta_askatasuna",2012-01-09,52
"9280","en","farc",2012-01-09,217
"9400","en","hezbollah",2012-01-09,1509
"9190","en","improvised_explosive_device",2012-01-09,1537
"91007","en","islamist",2012-01-09,133
"9700","en","jihad",2012-01-09,1912
"9140","en","nuclear",2012-01-09,227
"9130","en","nuclear_enrichment",2012-01-09,6
"9500","en","palestine_liberation_front",2012-01-09,53
"91004","en","political_radicalism",2012-01-09,203
"91006","en","recruitment",2012-01-09,1504
"91000","en","suicide_attack",2012-01-09,577
"9900","en","suicide_bomber",2012-01-09,114
"9800","en","taliban",2012-01-09,3522
"91003","en","tehrik-i-taliban_pakistan",2012-01-09,272
"9102","en","terror",2012-01-09,212
"9100","en","terrorism",2012-01-09,3041
"9120","en","weapons-grade",2012-01-09,170
"10200","en","abu_sayyaf",2012-01-10,387
"10","en","al-qaeda",2012-01-10,4224
"101001","en","al-qaeda_in_the_arabian_peninsula",2012-01-10,133
"101002","en","al-qaeda_in_the_islamic_maghreb",2012-01-10,8
"101005","en","al-shabaab",2012-01-10,1453
"10170","en","biological_weapon",2012-01-10,99
"10600","en","car_bomb",2012-01-10,230
"10150","en","chemical_weapon",2012-01-10,390
"10108","en","conventional_weapon",2012-01-10,67
"10128","en","dirty_bomb",2012-01-10,581
"10106","en","eco-terrorism",2012-01-10,329
"10104","en","environmental_terrorism",2012-01-10,36
"10300","en","euskadi_ta_askatasuna",2012-01-10,61
"10280","en","farc",2012-01-10,250
"10400","en","hezbollah",2012-01-10,1512
"10190","en","improvised_explosive_device",2012-01-10,1508
"101007","en","islamist",2012-01-10,166
"10700","en","jihad",2012-01-10,2190
"10140","en","nuclear",2012-01-10,243
"10130","en","nuclear_enrichment",2012-01-10,11
"10500","en","palestine_liberation_front",2012-01-10,36
"101004","en","political_radicalism",2012-01-10,234
"101006","en","recruitment",2012-01-10,1661
"101000","en","suicide_attack",2012-01-10,557
"10900","en","suicide_bomber",2012-01-10,141
"10800","en","taliban",2012-01-10,3815
"101003","en","tehrik-i-taliban_pakistan",2012-01-10,281
"10102","en","terror",2012-01-10,224
"10100","en","terrorism",2012-01-10,3224
"10120","en","weapons-grade",2012-01-10,229
"11200","en","abu_sayyaf",2012-01-11,404
"11","en","al-qaeda",2012-01-11,4383
"111002","en","al-qaeda_in_the_arabian_peninsula",2012-01-11,133
"111003","en","al-qaeda_in_the_islamic_maghreb",2012-01-11,20
"111006","en","al-shabaab",2012-01-11,1456
"11170","en","biological_weapon",2012-01-11,141
"11600","en","car_bomb",2012-01-11,446
"11150","en","chemical_weapon",2012-01-11,383
"11108","en","conventional_weapon",2012-01-11,53
"11128","en","dirty_bomb",2012-01-11,580
"11106","en","eco-terrorism",2012-01-11,256
"11104","en","environmental_terrorism",2012-01-11,35
"11300","en","euskadi_ta_askatasuna",2012-01-11,67
"11280","en","farc",2012-01-11,215
"11400","en","hezbollah",2012-01-11,1714
"11190","en","improvised_explosive_device",2012-01-11,1651
"111008","en","islamist",2012-01-11,165
"11700","en","jihad",2012-01-11,2103
"11140","en","nuclear",2012-01-11,239
"11130","en","nuclear_enrichment",2012-01-11,8
"11500","en","palestine_liberation_front",2012-01-11,50
"111005","en","political_radicalism",2012-01-11,249
"111007","en","recruitment",2012-01-11,1705
"111001","en","suicide_attack",2012-01-11,624
"111000","en","suicide_bomber",2012-01-11,136
"11800","en","taliban",2012-01-11,3749
"111004","en","tehrik-i-taliban_pakistan",2012-01-11,238
"11102","en","terror",2012-01-11,218
"11100","en","terrorism",2012-01-11,3274
"11120","en","weapons-grade",2012-01-11,157
"12200","en","abu_sayyaf",2012-01-12,566
"12","en","al-qaeda",2012-01-12,4647
"121001","en","al-qaeda_in_the_arabian_peninsula",2012-01-12,128
"121002","en","al-qaeda_in_the_islamic_maghreb",2012-01-12,13
"121005","en","al-shabaab",2012-01-12,1315
"12170","en","biological_weapon",2012-01-12,118
"12600","en","car_bomb",2012-01-12,371
"12150","en","chemical_weapon",2012-01-12,383
"12108","en","conventional_weapon",2012-01-12,73
"12128","en","dirty_bomb",2012-01-12,515
"12106","en","eco-terrorism",2012-01-12,242
"12104","en","environmental_terrorism",2012-01-12,49
"12300","en","euskadi_ta_askatasuna",2012-01-12,50
"12280","en","farc",2012-01-12,243
"12400","en","hezbollah",2012-01-12,1704
"12190","en","improvised_explosive_device",2012-01-12,1774
"121007","en","islamist",2012-01-12,168
"12700","en","jihad",2012-01-12,2376
"12140","en","nuclear",2012-01-12,310
"12130","en","nuclear_enrichment",2012-01-12,6
"12500","en","palestine_liberation_front",2012-01-12,47
"121004","en","political_radicalism",2012-01-12,196
"121006","en","recruitment",2012-01-12,1537
"121000","en","suicide_attack",2012-01-12,597
"12900","en","suicide_bomber",2012-01-12,136
"12800","en","taliban",2012-01-12,7824
"121003","en","tehrik-i-taliban_pakistan",2012-01-12,223
"12102","en","terror",2012-01-12,177
"12100","en","terrorism",2012-01-12,3301
"12120","en","weapons-grade",2012-01-12,104
"13190","en","abu_sayyaf",2012-01-13,374
"13","en","al-qaeda",2012-01-13,4235
"13406","en","al-qaeda_in_the_arabian_peninsula",2012-01-13,162
"13408","en","al-qaeda_in_the_islamic_maghreb",2012-01-13,12
"13437","en","al-shabaab",2012-01-13,1162
"13150","en","biological_weapon",2012-01-13,117
"13401","en","car_bomb",2012-01-13,301
"13100","en","chemical_weapon",2012-01-13,342
"1356","en","conventional_weapon",2012-01-13,75
"1367","en","dirty_bomb",2012-01-13,445
"1350","en","eco-terrorism",2012-01-13,232
"1347","en","environmental_terrorism",2012-01-13,39
"13290","en","euskadi_ta_askatasuna",2012-01-13,59
"13200","en","farc",2012-01-13,171
"13300","en","hezbollah",2012-01-13,2170
"13170","en","improvised_explosive_device",2012-01-13,1508
"13443","en","islamist",2012-01-13,133
"13402","en","jihad",2012-01-13,2415
"1380","en","nuclear",2012-01-13,217
"1370","en","nuclear_enrichment",2012-01-13,6
"13400","en","palestine_liberation_front",2012-01-13,45
"13434","en","political_radicalism",2012-01-13,209
"13440","en","recruitment",2012-01-13,1413
"13405","en","suicide_attack",2012-01-13,569
"13404","en","suicide_bomber",2012-01-13,105
"13403","en","taliban",2012-01-13,7479
"13431","en","tehrik-i-taliban_pakistan",2012-01-13,171
"1344","en","terror",2012-01-13,178
"1341","en","terrorism",2012-01-13,2794
"1359","en","weapons-grade",2012-01-13,80
"1490","en","abu_sayyaf",2012-01-14,377
"14","en","al-qaeda",2012-01-14,2933
"14109","en","al-qaeda_in_the_arabian_peninsula",2012-01-14,127
"14128","en","al-qaeda_in_the_islamic_maghreb",2012-01-14,12
"14134","en","al-shabaab",2012-01-14,805
"1450","en","biological_weapon",2012-01-14,113
"14104","en","car_bomb",2012-01-14,326
"1440","en","chemical_weapon",2012-01-14,278
"1418","en","conventional_weapon",2012-01-14,34
"1427","en","dirty_bomb",2012-01-14,397
"1416","en","eco-terrorism",2012-01-14,189
"1414","en","environmental_terrorism",2012-01-14,31
"14101","en","euskadi_ta_askatasuna",2012-01-14,66
"14100","en","farc",2012-01-14,169
"14102","en","hezbollah",2012-01-14,2052
"1470","en","improvised_explosive_device",2012-01-14,1378
"14138","en","islamist",2012-01-14,124
"14105","en","jihad",2012-01-14,1552
"1430","en","nuclear",2012-01-14,164
"1429","en","nuclear_enrichment",2012-01-14,3
"14103","en","palestine_liberation_front",2012-01-14,66
"14132","en","political_radicalism",2012-01-14,148
"14136","en","recruitment",2012-01-14,783
"14108","en","suicide_attack",2012-01-14,491
"14107","en","suicide_bomber",2012-01-14,179
"14106","en","taliban",2012-01-14,3639
"14130","en","tehrik-i-taliban_pakistan",2012-01-14,181
"1412","en","terror",2012-01-14,161
"1410","en","terrorism",2012-01-14,2156
"1420","en","weapons-grade",2012-01-14,50
"1570","en","abu_sayyaf",2012-01-15,322
"15","en","al-qaeda",2012-01-15,3485
"15108","en","al-qaeda_in_the_arabian_peninsula",2012-01-15,110
"15109","en","al-qaeda_in_the_islamic_maghreb",2012-01-15,12
"15133","en","al-shabaab",2012-01-15,912
"1550","en","biological_weapon",2012-01-15,116
"15103","en","car_bomb",2012-01-15,304
"1540","en","chemical_weapon",2012-01-15,310
"1518","en","conventional_weapon",2012-01-15,54
"1527","en","dirty_bomb",2012-01-15,470
"1516","en","eco-terrorism",2012-01-15,171
"1514","en","environmental_terrorism",2012-01-15,34
"15100","en","euskadi_ta_askatasuna",2012-01-15,55
"1580","en","farc",2012-01-15,193
"15101","en","hezbollah",2012-01-15,1971
"1560","en","improvised_explosive_device",2012-01-15,1451
"15137","en","islamist",2012-01-15,128
"15104","en","jihad",2012-01-15,1722
"1530","en","nuclear",2012-01-15,177
"1529","en","nuclear_enrichment",2012-01-15,11
"15102","en","palestine_liberation_front",2012-01-15,52
"15131","en","political_radicalism",2012-01-15,178
"15135","en","recruitment",2012-01-15,990
"15107","en","suicide_attack",2012-01-15,543
"15106","en","suicide_bomber",2012-01-15,217
"15105","en","taliban",2012-01-15,3578
"15129","en","tehrik-i-taliban_pakistan",2012-01-15,414
"1512","en","terror",2012-01-15,170
"1510","en","terrorism",2012-01-15,2461
"1520","en","weapons-grade",2012-01-15,91
"1670","en","abu_sayyaf",2012-01-16,373
"16","en","al-qaeda",2012-01-16,4341
"16107","en","al-qaeda_in_the_arabian_peninsula",2012-01-16,171
"16108","en","al-qaeda_in_the_islamic_maghreb",2012-01-16,13
"16132","en","al-shabaab",2012-01-16,967
"1650","en","biological_weapon",2012-01-16,117
"16102","en","car_bomb",2012-01-16,294
"1640","en","chemical_weapon",2012-01-16,292
"1618","en","conventional_weapon",2012-01-16,58
"1627","en","dirty_bomb",2012-01-16,440
"1616","en","eco-terrorism",2012-01-16,200
"1614","en","environmental_terrorism",2012-01-16,34
"1690","en","euskadi_ta_askatasuna",2012-01-16,51
"1680","en","farc",2012-01-16,288
"16100","en","hezbollah",2012-01-16,1769
"1660","en","improvised_explosive_device",2012-01-16,1539
"16136","en","islamist",2012-01-16,142
"16103","en","jihad",2012-01-16,1976
"1630","en","nuclear",2012-01-16,215
"1629","en","nuclear_enrichment",2012-01-16,5
"16101","en","palestine_liberation_front",2012-01-16,69
"16130","en","political_radicalism",2012-01-16,191
"16134","en","recruitment",2012-01-16,1520
"16106","en","suicide_attack",2012-01-16,542
"16105","en","suicide_bomber",2012-01-16,167
"16104","en","taliban",2012-01-16,4664
"16109","en","tehrik-i-taliban_pakistan",2012-01-16,450
"1612","en","terror",2012-01-16,218
"1610","en","terrorism",2012-01-16,2938
"1620","en","weapons-grade",2012-01-16,78
"1770","en","abu_sayyaf",2012-01-17,397
"17","en","al-qaeda",2012-01-17,4609
"17107","en","al-qaeda_in_the_arabian_peninsula",2012-01-17,180
"17108","en","al-qaeda_in_the_islamic_maghreb",2012-01-17,19
"17132","en","al-shabaab",2012-01-17,1141
"1750","en","biological_weapon",2012-01-17,138
"17102","en","car_bomb",2012-01-17,257
"1740","en","chemical_weapon",2012-01-17,348
"1718","en","conventional_weapon",2012-01-17,80
"1727","en","dirty_bomb",2012-01-17,630
"1716","en","eco-terrorism",2012-01-17,234
"1714","en","environmental_terrorism",2012-01-17,37
"1790","en","euskadi_ta_askatasuna",2012-01-17,59
"1780","en","farc",2012-01-17,192
"17100","en","hezbollah",2012-01-17,2454
"1760","en","improvised_explosive_device",2012-01-17,1743
"17136","en","islamist",2012-01-17,155
"17103","en","jihad",2012-01-17,2295
"1730","en","nuclear",2012-01-17,211
"1729","en","nuclear_enrichment",2012-01-17,4
"17101","en","palestine_liberation_front",2012-01-17,112
"17130","en","political_radicalism",2012-01-17,218
"17134","en","recruitment",2012-01-17,1845
"17106","en","suicide_attack",2012-01-17,556
"17105","en","suicide_bomber",2012-01-17,149
"17104","en","taliban",2012-01-17,4678
"17109","en","tehrik-i-taliban_pakistan",2012-01-17,269
"1712","en","terror",2012-01-17,202
"1710","en","terrorism",2012-01-17,3331
"1720","en","weapons-grade",2012-01-17,93
"1870","en","abu_sayyaf",2012-01-18,345
"18","en","al-qaeda",2012-01-18,3359
"18107","en","al-qaeda_in_the_arabian_peninsula",2012-01-18,135
"18108","en","al-qaeda_in_the_islamic_maghreb",2012-01-18,12
"18132","en","al-shabaab",2012-01-18,886
"1850","en","biological_weapon",2012-01-18,75
"18102","en","car_bomb",2012-01-18,185
"1840","en","chemical_weapon",2012-01-18,170
"1818","en","conventional_weapon",2012-01-18,52
"1827","en","dirty_bomb",2012-01-18,269
"1816","en","eco-terrorism",2012-01-18,191
"1814","en","environmental_terrorism",2012-01-18,22
"1890","en","euskadi_ta_askatasuna",2012-01-18,31
"1880","en","farc",2012-01-18,166
"18100","en","hezbollah",2012-01-18,1645
"1860","en","improvised_explosive_device",2012-01-18,1321
"18136","en","islamist",2012-01-18,69
"18103","en","jihad",2012-01-18,2121
"1830","en","nuclear",2012-01-18,499
"1829","en","nuclear_enrichment",2012-01-18,2
"18101","en","palestine_liberation_front",2012-01-18,57
"18130","en","political_radicalism",2012-01-18,163
"18134","en","recruitment",2012-01-18,2024
"18106","en","suicide_attack",2012-01-18,428
"18105","en","suicide_bomber",2012-01-18,85
"18104","en","taliban",2012-01-18,3408
"18109","en","tehrik-i-taliban_pakistan",2012-01-18,152
"1812","en","terror",2012-01-18,199
"1810","en","terrorism",2012-01-18,3809
"1820","en","weapons-grade",2012-01-18,67
"1970","en","abu_sayyaf",2012-01-19,317
"19","en","al-qaeda",2012-01-19,3917
"19107","en","al-qaeda_in_the_arabian_peninsula",2012-01-19,182
"19108","en","al-qaeda_in_the_islamic_maghreb",2012-01-19,16
"19132","en","al-shabaab",2012-01-19,992
"1950","en","biological_weapon",2012-01-19,107
"19102","en","car_bomb",2012-01-19,239
"1940","en","chemical_weapon",2012-01-19,449
"1918","en","conventional_weapon",2012-01-19,39
"1927","en","dirty_bomb",2012-01-19,421
"1916","en","eco-terrorism",2012-01-19,192
"1914","en","environmental_terrorism",2012-01-19,35
"1990","en","euskadi_ta_askatasuna",2012-01-19,38
"1980","en","farc",2012-01-19,204
"19100","en","hezbollah",2012-01-19,1717
"1960","en","improvised_explosive_device",2012-01-19,1505
"19136","en","islamist",2012-01-19,177
"19103","en","jihad",2012-01-19,1947
"1930","en","nuclear",2012-01-19,265
"1929","en","nuclear_enrichment",2012-01-19,4
"19101","en","palestine_liberation_front",2012-01-19,85
"19130","en","political_radicalism",2012-01-19,153
"19134","en","recruitment",2012-01-19,1662
"19106","en","suicide_attack",2012-01-19,490
"19105","en","suicide_bomber",2012-01-19,131
"19104","en","taliban",2012-01-19,3794
"19109","en","tehrik-i-taliban_pakistan",2012-01-19,219
"1912","en","terror",2012-01-19,217
"1910","en","terrorism",2012-01-19,3184
"1920","en","weapons-grade",2012-01-19,100
"2070","en","abu_sayyaf",2012-01-20,352
"20","en","al-qaeda",2012-01-20,4138
"20107","en","al-qaeda_in_the_arabian_peninsula",2012-01-20,141
"20108","en","al-qaeda_in_the_islamic_maghreb",2012-01-20,10
"20132","en","al-shabaab",2012-01-20,1112
"2050","en","biological_weapon",2012-01-20,112
"20102","en","car_bomb",2012-01-20,203
"2040","en","chemical_weapon",2012-01-20,462
"2018","en","conventional_weapon",2012-01-20,61
"2027","en","dirty_bomb",2012-01-20,424
"2016","en","eco-terrorism",2012-01-20,188
"2014","en","environmental_terrorism",2012-01-20,34
"2090","en","euskadi_ta_askatasuna",2012-01-20,40
"2080","en","farc",2012-01-20,195
"20100","en","hezbollah",2012-01-20,1512
"2060","en","improvised_explosive_device",2012-01-20,1295
"20136","en","islamist",2012-01-20,151
"20103","en","jihad",2012-01-20,2037
"2030","en","nuclear",2012-01-20,152
"2029","en","nuclear_enrichment",2012-01-20,8
"20101","en","palestine_liberation_front",2012-01-20,78
"20130","en","political_radicalism",2012-01-20,213
"20134","en","recruitment",2012-01-20,1429
"20106","en","suicide_attack",2012-01-20,510
"20105","en","suicide_bomber",2012-01-20,123
"20104","en","taliban",2012-01-20,3993
"20109","en","tehrik-i-taliban_pakistan",2012-01-20,205
"2012","en","terror",2012-01-20,187
"2010","en","terrorism",2012-01-20,2720
"2020","en","weapons-grade",2012-01-20,68
