"","language","article","date","views"
"3702","en","al-qaeda_in_the_arabian_peninsula",2012-01-03,131
"3703","en","al-qaeda_in_the_islamic_maghreb",2012-01-03,15
"3747","en","al-shabaab",2012-01-03,921
"3500","en","ammonium_nitrate",2012-01-03,1071
"370","en","attack",2012-01-03,124
"3400","en","biological_weapon",2012-01-03,138
"3695","en","car_bomb",2012-01-03,242
"3300","en","chemical_weapon",2012-01-03,275
"3150","en","conventional_weapon",2012-01-03,45
"3190","en","dirty_bomb",2012-01-03,543
"3100","en","eco-terrorism",2012-01-03,183
"390","en","environmental_terrorism",2012-01-03,34
"3685","en","euskadi_ta_askatasuna",2012-01-03,107
"3707","en","extremism",2012-01-03,266
"3681","en","farc",2012-01-03,197
"3753","en","fundamentalism",2012-01-03,775
"3679","en","hamas",2012-01-03,2238
"3687","en","hezbollah",2012-01-03,1514
"3600","en","improvised_explosive_device",2012-01-03,1935
"378","en","iran",2012-01-03,23891
"374","en","iraq",2012-01-03,5733
"3683","en","irish_republican_army",2012-01-03,2647
"3755","en","islamist",2012-01-03,173
"3697","en","jihad",2012-01-03,1802
"3749","en","nationalism",2012-01-03,2482
"3709","en","nigeria",2012-01-03,9693
"3290","en","nuclear",2012-01-03,176
"3200","en","nuclear_enrichment",2012-01-03,8
"380","en","pakistan",2012-01-03,11647
"3693","en","palestine_liberation_front",2012-01-03,41
"3706","en","pirates",2012-01-03,597
"3691","en","plo",2012-01-03,195
"3745","en","political_radicalism",2012-01-03,177
"3751","en","recruitment",2012-01-03,1401
"3708","en","somalia",2012-01-03,4641
"3701","en","suicide_attack",2012-01-03,490
"3700","en","suicide_bomber",2012-01-03,133
"3699","en","taliban",2012-01-03,5440
"3689","en","tamil_tigers",2012-01-03,109
"3704","en","tehrik-i-taliban_pakistan",2012-01-03,361
"369","en","terror",2012-01-03,219
"367","en","terrorism",2012-01-03,2723
"3170","en","weapons-grade",2012-01-03,69
"3705","en","yemen",2012-01-03,3531
"4104","en","abu_sayyaf",2012-01-04,418
"418","en","afghanistan",2012-01-04,8001
"429","en","agro",2012-01-04,42
"4","en","al-qaeda",2012-01-04,3905
"4146","en","al-qaeda_in_the_arabian_peninsula",2012-01-04,147
"4148","en","al-qaeda_in_the_islamic_maghreb",2012-01-04,11
"4164","en","al-shabaab",2012-01-04,866
"4102","en","ammonium_nitrate",2012-01-04,1212
"414","en","attack",2012-01-04,161
"4101","en","biological_weapon",2012-01-04,102
"4136","en","car_bomb",2012-01-04,233
"4100","en","chemical_weapon",2012-01-04,281
"450","en","conventional_weapon",2012-01-04,50
"470","en","dirty_bomb",2012-01-04,472
"440","en","eco-terrorism",2012-01-04,165
"430","en","environmental_terrorism",2012-01-04,32
"4108","en","euskadi_ta_askatasuna",2012-01-04,64
"4156","en","extremism",2012-01-04,369
"4106","en","farc",2012-01-04,179
"4170","en","fundamentalism",2012-01-04,917
"4105","en","hamas",2012-01-04,1866
"4109","en","hezbollah",2012-01-04,1453
"4103","en","improvised_explosive_device",2012-01-04,1766
"420","en","iran",2012-01-04,18482
"416","en","iraq",2012-01-04,5510
"4107","en","irish_republican_army",2012-01-04,2588
"4172","en","islamist",2012-01-04,144
"4138","en","jihad",2012-01-04,1971
"4166","en","nationalism",2012-01-04,2794
"4160","en","nigeria",2012-01-04,9013
"490","en","nuclear",2012-01-04,200
"480","en","nuclear_enrichment",2012-01-04,5
"427","en","pakistan",2012-01-04,11346
"4134","en","palestine_liberation_front",2012-01-04,36
"4154","en","pirates",2012-01-04,431
"4132","en","plo",2012-01-04,205
"4162","en","political_radicalism",2012-01-04,182
"4168","en","recruitment",2012-01-04,1465
"4158","en","somalia",2012-01-04,4507
"4144","en","suicide_attack",2012-01-04,503
"4142","en","suicide_bomber",2012-01-04,127
"4140","en","taliban",2012-01-04,6252
"4130","en","tamil_tigers",2012-01-04,122
"4150","en","tehrik-i-taliban_pakistan",2012-01-04,348
"412","en","terror",2012-01-04,184
"410","en","terrorism",2012-01-04,2752
"460","en","weapons-grade",2012-01-04,54
"4152","en","yemen",2012-01-04,3484
"5104","en","abu_sayyaf",2012-01-05,804
"518","en","afghanistan",2012-01-05,8002
"529","en","agro",2012-01-05,43
"5","en","al-qaeda",2012-01-05,4134
"5146","en","al-qaeda_in_the_arabian_peninsula",2012-01-05,137
"5148","en","al-qaeda_in_the_islamic_maghreb",2012-01-05,7
"5164","en","al-shabaab",2012-01-05,966
"5102","en","ammonium_nitrate",2012-01-05,1279
"514","en","attack",2012-01-05,119
"5101","en","biological_weapon",2012-01-05,105
"5136","en","car_bomb",2012-01-05,232
"5100","en","chemical_weapon",2012-01-05,257
"550","en","conventional_weapon",2012-01-05,43
"570","en","dirty_bomb",2012-01-05,439
"540","en","eco-terrorism",2012-01-05,195
"530","en","environmental_terrorism",2012-01-05,26
"5108","en","euskadi_ta_askatasuna",2012-01-05,57
"5156","en","extremism",2012-01-05,341
"5106","en","farc",2012-01-05,228
"5170","en","fundamentalism",2012-01-05,900
"5105","en","hamas",2012-01-05,3221
"5109","en","hezbollah",2012-01-05,1652
"5103","en","improvised_explosive_device",2012-01-05,1803
"520","en","iran",2012-01-05,16402
"516","en","iraq",2012-01-05,6581
"5107","en","irish_republican_army",2012-01-05,2891
"5172","en","islamist",2012-01-05,140
"5138","en","jihad",2012-01-05,2041
"5166","en","nationalism",2012-01-05,3106
"5160","en","nigeria",2012-01-05,8521
"590","en","nuclear",2012-01-05,191
"580","en","nuclear_enrichment",2012-01-05,2
"527","en","pakistan",2012-01-05,11156
"5134","en","palestine_liberation_front",2012-01-05,55
"5154","en","pirates",2012-01-05,412
"5132","en","plo",2012-01-05,211
"5162","en","political_radicalism",2012-01-05,174
"5168","en","recruitment",2012-01-05,1508
"5158","en","somalia",2012-01-05,4890
"5144","en","suicide_attack",2012-01-05,508
"5142","en","suicide_bomber",2012-01-05,126
"5140","en","taliban",2012-01-05,9072
"5130","en","tamil_tigers",2012-01-05,123
"5150","en","tehrik-i-taliban_pakistan",2012-01-05,521
"512","en","terror",2012-01-05,180
"510","en","terrorism",2012-01-05,2940
"560","en","weapons-grade",2012-01-05,39
"5152","en","yemen",2012-01-05,4397
"6104","en","abu_sayyaf",2012-01-06,1102
"618","en","afghanistan",2012-01-06,14604
"629","en","agro",2012-01-06,114
"6","en","al-qaeda",2012-01-06,8562
"6146","en","al-qaeda_in_the_arabian_peninsula",2012-01-06,292
"6148","en","al-qaeda_in_the_islamic_maghreb",2012-01-06,20
"6164","en","al-shabaab",2012-01-06,1770
"6102","en","ammonium_nitrate",2012-01-06,2328
"614","en","attack",2012-01-06,244
"6101","en","biological_weapon",2012-01-06,196
"6136","en","car_bomb",2012-01-06,444
"6100","en","chemical_weapon",2012-01-06,570
"650","en","conventional_weapon",2012-01-06,76
"670","en","dirty_bomb",2012-01-06,1040
"640","en","eco-terrorism",2012-01-06,334
"630","en","environmental_terrorism",2012-01-06,64
"6108","en","euskadi_ta_askatasuna",2012-01-06,108
"6156","en","extremism",2012-01-06,690
"6106","en","farc",2012-01-06,442
"6170","en","fundamentalism",2012-01-06,1684
"6105","en","hamas",2012-01-06,3746
"6109","en","hezbollah",2012-01-06,3352
"6103","en","improvised_explosive_device",2012-01-06,2948
"620","en","iran",2012-01-06,31578
"616","en","iraq",2012-01-06,13842
"6107","en","irish_republican_army",2012-01-06,5526
"6172","en","islamist",2012-01-06,318
"6138","en","jihad",2012-01-06,3524
"6166","en","nationalism",2012-01-06,5664
"6160","en","nigeria",2012-01-06,18612
"690","en","nuclear",2012-01-06,424
"680","en","nuclear_enrichment",2012-01-06,4
"627","en","pakistan",2012-01-06,21184
"6134","en","palestine_liberation_front",2012-01-06,132
"6154","en","pirates",2012-01-06,888
"6132","en","plo",2012-01-06,420
"6162","en","political_radicalism",2012-01-06,388
"6168","en","recruitment",2012-01-06,2586
"6158","en","somalia",2012-01-06,10274
"6144","en","suicide_attack",2012-01-06,1222
"6142","en","suicide_bomber",2012-01-06,266
"6140","en","taliban",2012-01-06,7940
"6130","en","tamil_tigers",2012-01-06,250
"6150","en","tehrik-i-taliban_pakistan",2012-01-06,572
"612","en","terror",2012-01-06,360
"610","en","terrorism",2012-01-06,5478
"660","en","weapons-grade",2012-01-06,126
"6152","en","yemen",2012-01-06,7502
"7124","en","abu_sayyaf",2012-01-07,348
"718","en","afghanistan",2012-01-07,5934
"729","en","agro",2012-01-07,30
"7","en","al-qaeda",2012-01-07,3143
"7152","en","al-qaeda_in_the_arabian_peninsula",2012-01-07,85
"7154","en","al-qaeda_in_the_islamic_maghreb",2012-01-07,12
"7170","en","al-shabaab",2012-01-07,1478
"7108","en","ammonium_nitrate",2012-01-07,809
"714","en","attack",2012-01-07,99
"7107","en","biological_weapon",2012-01-07,106
"7142","en","car_bomb",2012-01-07,224
"7106","en","chemical_weapon",2012-01-07,261
"7101","en","conventional_weapon",2012-01-07,44
"7103","en","dirty_bomb",2012-01-07,412
"7100","en","eco-terrorism",2012-01-07,179
"730","en","environmental_terrorism",2012-01-07,29
"7132","en","euskadi_ta_askatasuna",2012-01-07,63
"7162","en","extremism",2012-01-07,252
"7128","en","farc",2012-01-07,178
"7176","en","fundamentalism",2012-01-07,622
"7126","en","hamas",2012-01-07,1538
"7134","en","hezbollah",2012-01-07,1383
"7109","en","improvised_explosive_device",2012-01-07,1194
"720","en","iran",2012-01-07,13603
"716","en","iraq",2012-01-07,4660
"7130","en","irish_republican_army",2012-01-07,3214
"7178","en","islamist",2012-01-07,163
"7144","en","jihad",2012-01-07,1474
"7172","en","nationalism",2012-01-07,1719
"7166","en","nigeria",2012-01-07,9993
"7105","en","nuclear",2012-01-07,149
"7104","en","nuclear_enrichment",2012-01-07,1
"727","en","pakistan",2012-01-07,9239
"7140","en","palestine_liberation_front",2012-01-07,33
"7160","en","pirates",2012-01-07,523
"7138","en","plo",2012-01-07,165
"7168","en","political_radicalism",2012-01-07,136
"7174","en","recruitment",2012-01-07,943
"7164","en","somalia",2012-01-07,5384
"7150","en","suicide_attack",2012-01-07,535
"7148","en","suicide_bomber",2012-01-07,105
"7146","en","taliban",2012-01-07,2785
"7136","en","tamil_tigers",2012-01-07,121
"7156","en","tehrik-i-taliban_pakistan",2012-01-07,259
"712","en","terror",2012-01-07,165
"710","en","terrorism",2012-01-07,2089
"7102","en","weapons-grade",2012-01-07,59
"7158","en","yemen",2012-01-07,3165
"8800","en","abu_sayyaf",2012-01-08,524
"8108","en","afghanistan",2012-01-08,7642
"8130","en","agro",2012-01-08,42
"8","en","al-qaeda",2012-01-08,3337
"81040","en","al-qaeda_in_the_arabian_peninsula",2012-01-08,89
"81042","en","al-qaeda_in_the_islamic_maghreb",2012-01-08,9
"81058","en","al-shabaab",2012-01-08,1216
"8600","en","ammonium_nitrate",2012-01-08,1014
"8104","en","attack",2012-01-08,92
"8500","en","biological_weapon",2012-01-08,103
"81007","en","car_bomb",2012-01-08,248
"8400","en","chemical_weapon",2012-01-08,298
"8170","en","conventional_weapon",2012-01-08,44
"8200","en","dirty_bomb",2012-01-08,415
"8150","en","eco-terrorism",2012-01-08,200
"8140","en","environmental_terrorism",2012-01-08,33
"81002","en","euskadi_ta_askatasuna",2012-01-08,45
"81050","en","extremism",2012-01-08,270
"81000","en","farc",2012-01-08,229
"81064","en","fundamentalism",2012-01-08,853
"8900","en","hamas",2012-01-08,1545
"81003","en","hezbollah",2012-01-08,1287
"8700","en","improvised_explosive_device",2012-01-08,1368
"8120","en","iran",2012-01-08,14450
"8106","en","iraq",2012-01-08,5137
"81001","en","irish_republican_army",2012-01-08,3564
"81066","en","islamist",2012-01-08,144
"81008","en","jihad",2012-01-08,1733
"81060","en","nationalism",2012-01-08,2477
"81054","en","nigeria",2012-01-08,10067
"8300","en","nuclear",2012-01-08,165
"8280","en","nuclear_enrichment",2012-01-08,7
"8128","en","pakistan",2012-01-08,9690
"81006","en","palestine_liberation_front",2012-01-08,40
"81048","en","pirates",2012-01-08,446
"81005","en","plo",2012-01-08,184
"81056","en","political_radicalism",2012-01-08,148
"81062","en","recruitment",2012-01-08,1058
"81052","en","somalia",2012-01-08,5047
"81038","en","suicide_attack",2012-01-08,512
"81036","en","suicide_bomber",2012-01-08,128
"81009","en","taliban",2012-01-08,3099
"81004","en","tamil_tigers",2012-01-08,100
"81044","en","tehrik-i-taliban_pakistan",2012-01-08,220
"8102","en","terror",2012-01-08,222
"8100","en","terrorism",2012-01-08,2314
"8190","en","weapons-grade",2012-01-08,85
"81046","en","yemen",2012-01-08,3445
"9800","en","abu_sayyaf",2012-01-09,485
"9108","en","afghanistan",2012-01-09,7955
"9130","en","agro",2012-01-09,56
"9","en","al-qaeda",2012-01-09,4257
"91040","en","al-qaeda_in_the_arabian_peninsula",2012-01-09,140
"91042","en","al-qaeda_in_the_islamic_maghreb",2012-01-09,12
"91058","en","al-shabaab",2012-01-09,1153
"9600","en","ammonium_nitrate",2012-01-09,1388
"9104","en","attack",2012-01-09,136
"9500","en","biological_weapon",2012-01-09,105
"91007","en","car_bomb",2012-01-09,267
"9400","en","chemical_weapon",2012-01-09,313
"9170","en","conventional_weapon",2012-01-09,49
"9200","en","dirty_bomb",2012-01-09,534
"9150","en","eco-terrorism",2012-01-09,262
"9140","en","environmental_terrorism",2012-01-09,38
"91002","en","euskadi_ta_askatasuna",2012-01-09,52
"91050","en","extremism",2012-01-09,363
"91000","en","farc",2012-01-09,217
"91064","en","fundamentalism",2012-01-09,1025
"9900","en","hamas",2012-01-09,1904
"91003","en","hezbollah",2012-01-09,1509
"9700","en","improvised_explosive_device",2012-01-09,1537
"9120","en","iran",2012-01-09,19253
"9106","en","iraq",2012-01-09,6075
"91001","en","irish_republican_army",2012-01-09,3554
"91066","en","islamist",2012-01-09,133
"91008","en","jihad",2012-01-09,1912
"91060","en","nationalism",2012-01-09,3469
"91054","en","nigeria",2012-01-09,12546
"9300","en","nuclear",2012-01-09,227
"9280","en","nuclear_enrichment",2012-01-09,6
"9128","en","pakistan",2012-01-09,11184
"91006","en","palestine_liberation_front",2012-01-09,53
"91048","en","pirates",2012-01-09,484
"91005","en","plo",2012-01-09,214
"91056","en","political_radicalism",2012-01-09,203
"91062","en","recruitment",2012-01-09,1504
"91052","en","somalia",2012-01-09,5380
"91038","en","suicide_attack",2012-01-09,577
"91036","en","suicide_bomber",2012-01-09,114
"91009","en","taliban",2012-01-09,3522
"91004","en","tamil_tigers",2012-01-09,110
"91044","en","tehrik-i-taliban_pakistan",2012-01-09,272
"9102","en","terror",2012-01-09,212
"9100","en","terrorism",2012-01-09,3041
"9190","en","weapons-grade",2012-01-09,170
"91046","en","yemen",2012-01-09,3869
"10800","en","abu_sayyaf",2012-01-10,387
"10108","en","afghanistan",2012-01-10,7880
"10130","en","agro",2012-01-10,53
"10","en","al-qaeda",2012-01-10,4224
"101040","en","al-qaeda_in_the_arabian_peninsula",2012-01-10,133
"101042","en","al-qaeda_in_the_islamic_maghreb",2012-01-10,8
"101058","en","al-shabaab",2012-01-10,1453
"10600","en","ammonium_nitrate",2012-01-10,1551
"10104","en","attack",2012-01-10,122
"10500","en","biological_weapon",2012-01-10,99
"101007","en","car_bomb",2012-01-10,230
"10400","en","chemical_weapon",2012-01-10,390
"10170","en","conventional_weapon",2012-01-10,67
"10200","en","dirty_bomb",2012-01-10,581
"10150","en","eco-terrorism",2012-01-10,329
"10140","en","environmental_terrorism",2012-01-10,36
"101002","en","euskadi_ta_askatasuna",2012-01-10,61
"101050","en","extremism",2012-01-10,356
"101000","en","farc",2012-01-10,250
"101064","en","fundamentalism",2012-01-10,1074
"10900","en","hamas",2012-01-10,1853
"101003","en","hezbollah",2012-01-10,1512
"10700","en","improvised_explosive_device",2012-01-10,1508
"10120","en","iran",2012-01-10,18798
"10106","en","iraq",2012-01-10,5809
"101001","en","irish_republican_army",2012-01-10,3249
"101066","en","islamist",2012-01-10,166
"101008","en","jihad",2012-01-10,2190
"101060","en","nationalism",2012-01-10,3851
"101054","en","nigeria",2012-01-10,11772
"10300","en","nuclear",2012-01-10,243
"10280","en","nuclear_enrichment",2012-01-10,11
"10128","en","pakistan",2012-01-10,11172
"101006","en","palestine_liberation_front",2012-01-10,36
"101048","en","pirates",2012-01-10,431
"101005","en","plo",2012-01-10,199
"101056","en","political_radicalism",2012-01-10,234
"101062","en","recruitment",2012-01-10,1661
"101052","en","somalia",2012-01-10,5464
"101038","en","suicide_attack",2012-01-10,557
"101036","en","suicide_bomber",2012-01-10,141
"101009","en","taliban",2012-01-10,3815
"101004","en","tamil_tigers",2012-01-10,140
"101044","en","tehrik-i-taliban_pakistan",2012-01-10,281
"10102","en","terror",2012-01-10,224
"10100","en","terrorism",2012-01-10,3224
"10190","en","weapons-grade",2012-01-10,229
"101046","en","yemen",2012-01-10,4644
"11800","en","abu_sayyaf",2012-01-11,404
"11108","en","afghanistan",2012-01-11,8144
"11130","en","agro",2012-01-11,39
"11","en","al-qaeda",2012-01-11,4383
"111041","en","al-qaeda_in_the_arabian_peninsula",2012-01-11,133
"111043","en","al-qaeda_in_the_islamic_maghreb",2012-01-11,20
"111059","en","al-shabaab",2012-01-11,1456
"11600","en","ammonium_nitrate",2012-01-11,1599
"11104","en","attack",2012-01-11,138
"11500","en","biological_weapon",2012-01-11,141
"111008","en","car_bomb",2012-01-11,446
"11400","en","chemical_weapon",2012-01-11,383
"11170","en","conventional_weapon",2012-01-11,53
"11200","en","dirty_bomb",2012-01-11,580
"11150","en","eco-terrorism",2012-01-11,256
"11140","en","environmental_terrorism",2012-01-11,35
"111003","en","euskadi_ta_askatasuna",2012-01-11,67
"111051","en","extremism",2012-01-11,334
"111001","en","farc",2012-01-11,215
"111065","en","fundamentalism",2012-01-11,1084
"111000","en","hamas",2012-01-11,1794
"111004","en","hezbollah",2012-01-11,1714
"11700","en","improvised_explosive_device",2012-01-11,1651
"11120","en","iran",2012-01-11,17580
"11106","en","iraq",2012-01-11,6756
"111002","en","irish_republican_army",2012-01-11,3109
"111067","en","islamist",2012-01-11,165
"111009","en","jihad",2012-01-11,2103
"111061","en","nationalism",2012-01-11,4045
"111055","en","nigeria",2012-01-11,12247
"11300","en","nuclear",2012-01-11,239
"11280","en","nuclear_enrichment",2012-01-11,8
"11128","en","pakistan",2012-01-11,11564
"111007","en","palestine_liberation_front",2012-01-11,50
"111049","en","pirates",2012-01-11,460
"111006","en","plo",2012-01-11,218
"111057","en","political_radicalism",2012-01-11,249
"111063","en","recruitment",2012-01-11,1705
"111053","en","somalia",2012-01-11,5710
"111039","en","suicide_attack",2012-01-11,624
"111037","en","suicide_bomber",2012-01-11,136
"111035","en","taliban",2012-01-11,3749
"111005","en","tamil_tigers",2012-01-11,116
"111045","en","tehrik-i-taliban_pakistan",2012-01-11,238
"11102","en","terror",2012-01-11,218
"11100","en","terrorism",2012-01-11,3274
"11190","en","weapons-grade",2012-01-11,157
"111047","en","yemen",2012-01-11,3923
"12800","en","abu_sayyaf",2012-01-12,566
"12108","en","afghanistan",2012-01-12,8876
"12130","en","agro",2012-01-12,52
"12","en","al-qaeda",2012-01-12,4647
"121040","en","al-qaeda_in_the_arabian_peninsula",2012-01-12,128
"121042","en","al-qaeda_in_the_islamic_maghreb",2012-01-12,13
"121058","en","al-shabaab",2012-01-12,1315
"12600","en","ammonium_nitrate",2012-01-12,1493
"12104","en","attack",2012-01-12,139
"12500","en","biological_weapon",2012-01-12,118
"121007","en","car_bomb",2012-01-12,371
"12400","en","chemical_weapon",2012-01-12,383
"12170","en","conventional_weapon",2012-01-12,73
"12200","en","dirty_bomb",2012-01-12,515
"12150","en","eco-terrorism",2012-01-12,242
"12140","en","environmental_terrorism",2012-01-12,49
"121002","en","euskadi_ta_askatasuna",2012-01-12,50
"121050","en","extremism",2012-01-12,311
"121000","en","farc",2012-01-12,243
"121064","en","fundamentalism",2012-01-12,1063
"12900","en","hamas",2012-01-12,1889
"121003","en","hezbollah",2012-01-12,1704
"12700","en","improvised_explosive_device",2012-01-12,1774
"12120","en","iran",2012-01-12,17121
"12106","en","iraq",2012-01-12,6123
"121001","en","irish_republican_army",2012-01-12,2984
"121066","en","islamist",2012-01-12,168
"121008","en","jihad",2012-01-12,2376
"121060","en","nationalism",2012-01-12,3859
"121054","en","nigeria",2012-01-12,11710
"12300","en","nuclear",2012-01-12,310
"12280","en","nuclear_enrichment",2012-01-12,6
"12128","en","pakistan",2012-01-12,12199
"121006","en","palestine_liberation_front",2012-01-12,47
"121048","en","pirates",2012-01-12,544
"121005","en","plo",2012-01-12,206
"121056","en","political_radicalism",2012-01-12,196
"121062","en","recruitment",2012-01-12,1537
"121052","en","somalia",2012-01-12,6149
"121038","en","suicide_attack",2012-01-12,597
"121036","en","suicide_bomber",2012-01-12,136
"121009","en","taliban",2012-01-12,7824
"121004","en","tamil_tigers",2012-01-12,122
"121044","en","tehrik-i-taliban_pakistan",2012-01-12,223
"12102","en","terror",2012-01-12,177
"12100","en","terrorism",2012-01-12,3301
"12190","en","weapons-grade",2012-01-12,104
"121046","en","yemen",2012-01-12,3864
"13403","en","abu_sayyaf",2012-01-13,374
"1356","en","afghanistan",2012-01-13,11973
"1370","en","agro",2012-01-13,55
"13","en","al-qaeda",2012-01-13,4235
"13458","en","al-qaeda_in_the_arabian_peninsula",2012-01-13,162
"13461","en","al-qaeda_in_the_islamic_maghreb",2012-01-13,12
"13485","en","al-shabaab",2012-01-13,1162
"13401","en","ammonium_nitrate",2012-01-13,1303
"1347","en","attack",2012-01-13,142
"13400","en","biological_weapon",2012-01-13,117
"13443","en","car_bomb",2012-01-13,301
"13300","en","chemical_weapon",2012-01-13,342
"13150","en","conventional_weapon",2012-01-13,75
"13190","en","dirty_bomb",2012-01-13,445
"13100","en","eco-terrorism",2012-01-13,232
"1380","en","environmental_terrorism",2012-01-13,39
"13408","en","euskadi_ta_askatasuna",2012-01-13,59
"13473","en","extremism",2012-01-13,294
"13405","en","farc",2012-01-13,171
"13494","en","fundamentalism",2012-01-13,959
"13404","en","hamas",2012-01-13,1686
"13431","en","hezbollah",2012-01-13,2170
"13402","en","improvised_explosive_device",2012-01-13,1508
"1359","en","iran",2012-01-13,16047
"1350","en","iraq",2012-01-13,5258
"13406","en","irish_republican_army",2012-01-13,2929
"13497","en","islamist",2012-01-13,133
"13446","en","jihad",2012-01-13,2415
"13488","en","nationalism",2012-01-13,3281
"13479","en","nigeria",2012-01-13,9622
"13290","en","nuclear",2012-01-13,217
"13200","en","nuclear_enrichment",2012-01-13,6
"1367","en","pakistan",2012-01-13,12935
"13440","en","palestine_liberation_front",2012-01-13,45
"13470","en","pirates",2012-01-13,567
"13437","en","plo",2012-01-13,199
"13482","en","political_radicalism",2012-01-13,209
"13491","en","recruitment",2012-01-13,1413
"13476","en","somalia",2012-01-13,6236
"13455","en","suicide_attack",2012-01-13,569
"13452","en","suicide_bomber",2012-01-13,105
"13449","en","taliban",2012-01-13,7479
"13434","en","tamil_tigers",2012-01-13,140
"13464","en","tehrik-i-taliban_pakistan",2012-01-13,171
"1344","en","terror",2012-01-13,178
"1341","en","terrorism",2012-01-13,2794
"13170","en","weapons-grade",2012-01-13,80
"13467","en","yemen",2012-01-13,3719
"14106","en","abu_sayyaf",2012-01-14,377
"1418","en","afghanistan",2012-01-14,6566
"1429","en","agro",2012-01-14,55
"14","en","al-qaeda",2012-01-14,2933
